image_name,text_prompt,point_order,x,y
lab_1.jpg,Go under the bridge,1,1536,3876
lab_1.jpg,Go under the bridge,2,1570,3310
lab_1.jpg,Go under the bridge,3,1475,2670
lab_1.jpg,Go under the bridge,4,1202,2329
lab_1.jpg,Go under the bridge,5,1046,2163
lab_1.jpg,Go under the bridge,6,212,2272
lab_2.jpg,Go to the window,1,1536,3876
lab_2.jpg,Go to the window,2,1991,3405
lab_2.jpg,Go to the window,3,1991,2848
lab_2.jpg,Go to the window,4,2006,2299
WhatsApp Image 2026-04-27 at 19.34.46.jpeg,stairsthe left,1,384,972
WhatsApp Image 2026-04-27 at 19.34.46.jpeg,stairsthe left,2,325,902
WhatsApp Image 2026-04-27 at 19.34.46.jpeg,stairsthe left,3,245,834
WhatsApp Image 2026-04-27 at 19.34.46.jpeg,stairsthe left,4,190,753
WhatsApp Image 2026-04-27 at 19.34.46.jpeg,stairsthe left,5,164,665
WhatsApp Image 2026-04-27 at 19.34.46.jpeg,stairsthe left,6,156,585
WhatsApp Image 2026-04-27 at 19.34.46.jpeg,stairsthe left,7,153,512
WhatsApp Image 2026-04-27 at 19.34.46.jpeg,stairsthe left,8,159,443
WhatsApp Image 2026-04-27 at 19.34.46.jpeg,stairsthe left,9,193,404
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,1,384,972
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,2,374,919
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,3,359,870
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,4,340,817
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,5,310,762
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,6,268,721
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,7,198,695
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,8,145,686
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,9,99,671
WhatsApp Image 2026-04-27 at 19.34.47(1).jpeg,Enter the door on the left under the brick building,10,62,638
WhatsApp Image 2026-04-27 at 19.34.47(2).jpeg,Go up railings inbetween  the brick building and grass area,1,384,972
WhatsApp Image 2026-04-27 at 19.34.47(2).jpeg,Go up railings inbetween  the brick building and grass area,2,379,893
WhatsApp Image 2026-04-27 at 19.34.47(2).jpeg,Go up railings inbetween  the brick building and grass area,3,374,827
WhatsApp Image 2026-04-27 at 19.34.47(2).jpeg,Go up railings inbetween  the brick building and grass area,4,364,780
WhatsApp Image 2026-04-27 at 19.34.47(2).jpeg,Go up railings inbetween  the brick building and grass area,5,330,748
WhatsApp Image 2026-04-27 at 19.34.47(2).jpeg,Go up railings inbetween  the brick building and grass area,6,270,725
WhatsApp Image 2026-04-27 at 19.34.47(2).jpeg,Go up railings inbetween  the brick building and grass area,7,200,706
WhatsApp Image 2026-04-27 at 19.34.47(2).jpeg,Go up railings inbetween  the brick building and grass area,8,174,667
WhatsApp Image 2026-04-27 at 19.34.47(2).jpeg,Go up railings inbetween  the brick building and grass area,9,185,615
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,1,384,972
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,2,370,891
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,3,356,818
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,4,347,731
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,5,328,654
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,6,303,586
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,7,284,506
